0.2700012984 -4.33680868994e-19           0.01
0.2794444922 0.00166522602925             0.01
0.2899982679 0.4056684933                 0.01
0.2899982679 0.4056684933                 0.01
0.3 0.489333921                           0.01
0.3 0.489333921                           0.01
0.3099952374 0.507220266711               0.01
0.3199969695 0.4983354401                 0.01
0.3199969695 0.4983354401                 0.01
0.3299987016 0.4773338438                 0.01
0.3299987016 0.4773338438                 0.01
0.3400004337 0.4510014779                 0.01
0.3400004337 0.4510014779                 0.01
0.3499956711 0.423366974283               0.01
0.3599974032 0.3966689225                 0.01
0.3599974032 0.3966689225                 0.01
0.3699991353 0.3711665667                 0.01
0.3699991353 0.3711665667                 0.01
0.3800008673 0.3483315442                 0.01
0.3800008673 0.3483315442                 0.01
0.3900025994 0.327828665079               0.01
0.4000043315 0.3100029978                 0.01
0.4000043315 0.3100029978                 0.01
0.4099995689 0.2941665277                 0.01
0.4099995689 0.2941665277                 0.01
0.420001301 0.280167412                   0.01
0.420001301 0.280167412                   0.01
0.4299965384 0.2678341617                 0.01
0.4299965384 0.2678341617                 0.01
0.4399982705 0.257330441                  0.01
0.4399982705 0.257330441                  0.01
0.4500000026 0.247831296194               0.01
0.4600017347 0.239343216385               0.01
0.4699969721 0.2321729486                 0.01
0.4699969721 0.2321729486                 0.01
0.4799987042 0.225606228908               0.01
0.4899939416 0.21927767374                0.01
0.4999956737 0.2135074609                 0.01
0.4999956737 0.2135074609                 0.01
0.5100039004 0.208298520149               0.01
0.5199991379 0.2035044741                 0.01
0.5199991379 0.2035044741                 0.01
0.5300008699 0.198991626402               0.01
0.5399960866 0.1946705156                 0.01
0.5399960866 0.1946705156                 0.01
0.5499978187 0.1908341539                 0.01
0.5499978187 0.1908341539                 0.01
0.5599995507 0.186965371421               0.01
0.5699947882 0.183099004376               0.01
0.5799965203 0.1800011569                 0.01
0.5799965203 0.1800011569                 0.01
0.5899982523 0.176665529                  0.01
0.5899982523 0.176665529                  0.01
0.5999999844 0.173827438864               0.01
0.6099952219 0.170668413                  0.01
0.6099952219 0.170668413                  0.01
0.6199969539 0.1683381496                 0.01
0.6199969539 0.1683381496                 0.01
0.6299921914 0.1655013072                 0.01
0.6299921914 0.1655013072                 0.01
0.6399939234 0.163161662354               0.01
0.6499956555 0.1608407804                 0.01
0.6499956555 0.1608407804                 0.01
0.6599973876 0.1586683359                 0.01
0.6599973876 0.1586683359                 0.01
0.6800008517 0.154696052214               0.01
0.6899960892 0.1526673232                 0.01
0.6899960892 0.1526673232                 0.01
0.6999978213 0.1505007237                 0.01
0.6999978213 0.1505007237                 0.01
0.7099995533 0.148476775786               0.01
0.7200012854 0.146860524698               0.01
0.7299965229 0.1448348324                 0.01
0.7299965229 0.1448348324                 0.01
0.7399982549 0.143005303                  0.01
0.7399982549 0.143005303                  0.01
0.749999987 0.140970920021                0.01
0.7699969565 0.1376667397                 0.01
0.7699969565 0.1376667397                 0.01
0.779992194 0.1361703832                  0.01
0.779992194 0.1361703832                  0.01
0.789993926 0.134393055947                0.01
0.7999956581 0.133068752672               0.01
0.8099973902 0.1318332876                 0.01
0.8099973902 0.1318332876                 0.01
0.8199991223 0.1309993807                 0.01
0.8199991223 0.1309993807                 0.01
0.8299943597 0.1301713188                 0.01
0.8299943597 0.1301713188                 0.01
0.8399960918 0.1296686366                 0.01
0.8399960918 0.1296686366                 0.01
0.8499978239 0.1294991274                 0.01
0.8499978239 0.1294991274                 0.01
0.8599995559 0.1295049726                 0.01
0.8599995559 0.1295049726                 0.01
0.8699947934 0.129956962422               0.01
0.8799965255 0.1308337683                 0.01
0.8799965255 0.1308337683                 0.01
0.8899982575 0.132505479                  0.01
0.8899982575 0.132505479                  0.01
0.8999999896 0.1343311118                 0.01
0.8999999896 0.1343311118                 0.01
0.9099887324 0.1366652719                 0.01
0.9099887324 0.1366652719                 0.01
0.9199904645 0.1400067449                 0.01
0.9199904645 0.1400067449                 0.01
0.9299986912 0.1443379954                 0.01
0.9299986912 0.1443379954                 0.01
0.9400004233 0.1501656022                 0.01
0.9400004233 0.1501656022                 0.01
0.9499956607 0.1575051525                 0.01
0.9499956607 0.1575051525                 0.01
0.9599973928 0.1728408576                 0.01
0.9599973928 0.1728408576                 0.01
0.9699991249 0.1911692754                 0.01
0.9699991249 0.1911692754                 0.01
0.9800008569 0.2111733007                 0.01
0.9800008569 0.2111733007                 0.01
0.990002589 0.1970027274                  0.01
0.990002589 0.1970027274                  0.01
0.9999978265 0.181004573                  0.01
0.9999978265 0.181004573                  0.01
1.0099930639 0.1788360252                 0.01
1.0099930639 0.1788360252                 0.01
1.019994796 0.1803362783                  0.01
1.019994796 0.1803362783                  0.01
1.0299965281 0.1826704385                 0.01
1.0299965281 0.1826704385                 0.01
1.0399917655 0.1861716787                 0.01
1.0399917655 0.1861716787                 0.01
1.0499934976 0.1915063453                 0.01
1.0499934976 0.1915063453                 0.01
1.0599952297 0.1981678591                 0.01
1.0599952297 0.1981678591                 0.01
1.0699969617 0.2058347374                 0.01
1.0699969617 0.2058347374                 0.01
1.0799986938 0.2146706442                 0.01
1.0799986938 0.2146706442                 0.01
1.0899939312 0.2246716827                 0.01
1.0899939312 0.2246716827                 0.01
1.0999956633 0.2358378528                 0.01
1.0999956633 0.2358378528                 0.01
1.1099973954 0.2480035423                 0.01
1.1099973954 0.2480035423                 0.01
1.1199926328 0.2618389941                 0.01
1.1199926328 0.2618389941                 0.01
1.1299943649 0.2770032416                 0.01
1.1299943649 0.2770032416                 0.01
1.139996097 0.2936677423                  0.01
1.139996097 0.2936677423                  0.01
