0.000 0.000 0.0000e+00 0.0000e+00
0.041 0.041 3.8779e-05 1.8371e-05
0.082 0.164 6.4127e-05 3.9034e-05
0.123 0.369 2.4664e-05 3.1536e-05
0.164 0.655 5.5250e-05 3.0727e-05
0.205 1.020 5.5710e-05 2.1526e-05
0.245 1.463 5.7055e-05 1.6279e-05
0.286 1.982 2.8490e-05 1.4246e-05
0.326 2.575 2.7767e-05 9.7453e-06
0.365 3.239 2.0586e-05 8.5172e-06
0.404 3.972 9.8366e-06 7.9984e-06
0.000 0.164 0.0000e+00 0.0000e+00
0.041 0.206 1.9774e-05 9.8462e-06
0.082 0.329 3.1969e-05 2.3016e-05
0.123 0.534 4.0114e-05 2.1494e-05
0.164 0.819 4.3161e-05 1.5947e-05
0.205 1.184 3.5827e-05 1.3153e-05
0.245 1.627 3.7888e-05 1.0528e-05
0.286 2.147 2.6882e-05 9.2738e-06
0.326 2.739 2.1967e-05 7.3891e-06
0.365 3.404 1.6253e-05 6.0453e-06
0.404 4.136 1.4193e-05 5.6471e-06
0.000 0.655 0.0000e+00 0.0000e+00
0.041 0.696 5.0049e-06 5.5125e-06
0.082 0.819 1.6386e-05 1.3757e-05
0.123 1.024 1.3405e-05 1.1829e-05
0.164 1.310 8.0303e-06 1.1026e-05
0.205 1.675 1.7825e-05 8.8090e-06
0.245 2.118 1.2213e-05 7.9833e-06
0.286 2.637 1.5379e-05 6.2271e-06
0.326 3.230 1.3141e-05 5.3814e-06
0.365 3.894 1.4225e-05 5.2456e-06
0.000 1.463 0.0000e+00 0.0000e+00
0.041 1.504 -1.2707e-05 9.5311e-06
0.082 1.627 1.7150e-06 8.2461e-06
0.123 1.832 4.2401e-06 7.9211e-06
0.164 2.118 3.1674e-06 7.7204e-06
0.205 2.483 2.2913e-06 6.0292e-06
0.245 2.926 7.3887e-06 6.5807e-06
0.286 3.445 7.9378e-06 5.7321e-06
0.326 4.038 9.5466e-06 5.7499e-06
0.000 0.329 0.0000e+00 0.0000e+00
0.041 0.370 1.0592e-05 5.3261e-06
0.082 0.493 3.2768e-05 1.6428e-05
0.123 0.698 1.6571e-05 1.5207e-05
0.164 0.984 1.7003e-05 1.0805e-05
0.205 1.349 2.3502e-05 9.6318e-06
0.245 1.792 2.9928e-05 7.4308e-06
0.286 2.311 1.9861e-05 5.1616e-06
0.326 2.904 2.2364e-05 5.7345e-06
0.365 3.568 2.0396e-05 5.0548e-06
0.404 4.301 1.8848e-05 5.1276e-06
0.000 0.819 0.0000e+00 0.0000e+00
0.041 0.860 6.1061e-06 3.0993e-06
0.082 0.984 1.1203e-05 8.2780e-06
0.123 1.189 1.2751e-05 7.3380e-06
0.164 1.474 1.4829e-05 7.1092e-06
0.205 1.839 1.9820e-05 5.5071e-06
0.245 2.282 1.4561e-05 4.4689e-06
0.286 2.801 1.6904e-05 4.9476e-06
0.326 3.394 1.4144e-05 4.2021e-06
0.365 4.058 1.4510e-05 4.6190e-06
0.000 1.627 0.0000e+00 0.0000e+00
0.041 1.669 1.1900e-06 1.9178e-06
0.082 1.792 2.8831e-06 5.0326e-06
0.123 1.997 -1.5358e-06 8.2032e-06
0.164 2.282 -9.7434e-07 4.0165e-06
0.205 2.647 7.5869e-06 4.4871e-06
0.245 3.090 9.8456e-06 4.7107e-06
0.286 3.610 1.2905e-05 4.5380e-06
0.326 4.202 1.2509e-05 4.5220e-06
0.000 1.310 0.0000e+00 0.0000e+00
0.041 1.351 9.8006e-06 3.4584e-06
0.082 1.474 1.1693e-05 6.4237e-06
0.123 1.679 1.5330e-05 6.8837e-06
0.164 1.965 4.0032e-06 1.1151e-05
0.205 2.330 7.2136e-06 4.8138e-06
0.245 2.773 1.3159e-05 5.5197e-06
0.286 3.292 9.2385e-06 4.3629e-06
0.326 3.885 1.1767e-05 4.3979e-06
0.000 2.118 0.0000e+00 0.0000e+00
0.041 2.159 5.5574e-08 1.2418e-06
0.082 2.282 1.5452e-07 3.1626e-06
0.123 2.487 3.5391e-06 3.2825e-06
0.164 2.773 7.1113e-06 4.4094e-06
0.205 3.138 4.0843e-06 3.8293e-06
0.245 3.581 6.7723e-06 3.8560e-06
0.286 4.100 6.1994e-06 3.9913e-06
0.000 2.926 0.0000e+00 0.0000e+00
0.041 2.967 -9.9043e-08 1.2928e-06
0.082 3.090 -5.9136e-07 3.8999e-06
0.123 3.295 3.7705e-06 3.4222e-06
0.164 3.581 5.2885e-06 4.0106e-06
0.205 3.946 4.6078e-06 3.6740e-06
0.245 4.389 5.1494e-06 4.4383e-06
0.000 0.493 0.0000e+00 0.0000e+00
0.041 0.534 9.7041e-06 6.7793e-06
0.082 0.658 1.6350e-05 2.0561e-05
0.123 0.863 2.5521e-05 1.0042e-05
0.164 1.148 1.4146e-05 1.0145e-05
0.205 1.513 1.6650e-05 7.9614e-06
0.245 1.956 1.3850e-05 1.0835e-05
0.286 2.475 1.5585e-05 5.5842e-06
0.326 3.068 1.4538e-05 5.6965e-06
0.365 3.732 1.7680e-05 5.4744e-06
0.000 0.984 0.0000e+00 0.0000e+00
0.041 1.025 2.0568e-06 2.4373e-06
0.082 1.148 3.4782e-06 5.0756e-06
0.123 1.353 7.2886e-06 7.1735e-06
0.164 1.639 1.7938e-05 6.5779e-06
0.205 2.004 1.6018e-05 8.1469e-06
0.245 2.447 1.4725e-05 4.2777e-06
0.286 2.966 1.5699e-05 4.6748e-06
0.326 3.559 1.5534e-05 4.3057e-06
0.365 4.223 1.5373e-05 4.5439e-06
0.000 1.792 0.0000e+00 0.0000e+00
0.041 1.833 -2.5699e-06 2.6670e-06
0.082 1.956 -7.3353e-06 9.2077e-06
0.123 2.161 -3.2265e-06 3.8143e-06
0.164 2.447 4.8801e-06 3.3256e-06
0.205 2.812 1.5389e-05 3.8504e-06
0.245 3.255 1.2142e-05 3.6537e-06
0.286 3.774 1.0643e-05 3.9459e-06
0.326 4.367 1.0093e-05 4.6516e-06
0.000 1.474 0.0000e+00 0.0000e+00
0.041 1.515 4.0396e-06 2.5896e-06
0.082 1.639 1.0578e-05 7.3909e-06
0.123 1.844 8.2273e-06 4.8311e-06
0.164 2.129 7.0962e-06 4.3738e-06
