0.000 0.000 0.0000e+00 0.0000e+00
0.277 0.093 3.8000e-05 8.2236e-06
0.553 0.369 1.3088e-04 1.5236e-05
0.828 0.828 1.5274e-04 1.2503e-05
1.100 1.463 1.2258e-04 9.8479e-06
1.370 2.269 1.0964e-04 5.5374e-06
1.637 3.239 1.0324e-04 4.5144e-06
1.900 4.363 9.7467e-05 4.2299e-06
0.000 0.369 0.0000e+00 0.0000e+00
0.277 0.462 2.5789e-05 3.2013e-06
0.553 0.739 7.8706e-05 6.8154e-06
0.828 1.197 1.0032e-04 6.0305e-06
1.100 1.832 1.1637e-04 4.8289e-06
1.370 2.639 1.1984e-04 3.9489e-06
1.637 3.608 1.2170e-04 3.5176e-06
0.000 1.463 0.0000e+00 0.0000e+00
0.277 1.556 6.9222e-06 1.4760e-06
0.553 1.832 2.6408e-05 2.7291e-06
0.828 2.291 4.3702e-05 2.7585e-06
1.100 2.926 6.1394e-05 3.3022e-06
1.370 3.733 7.4523e-05 2.7561e-06
0.000 0.739 0.0000e+00 0.0000e+00
0.277 0.831 1.8062e-05 2.4098e-06
0.553 1.108 4.7430e-05 5.2472e-06
0.828 1.566 7.0835e-05 4.8631e-06
1.100 2.202 8.9631e-05 2.9947e-06
1.370 3.008 9.9630e-05 3.4698e-06
1.637 3.978 1.0526e-04 3.1141e-06
0.000 1.832 0.0000e+00 0.0000e+00
0.277 1.925 5.4262e-06 8.0922e-07
0.553 2.202 1.9970e-05 1.9353e-06
0.828 2.660 3.8826e-05 2.2962e-06
1.100 3.295 5.4144e-05 2.4642e-06
1.370 4.102 6.8262e-05 2.6184e-06
0.000 2.926 0.0000e+00 0.0000e+00
0.277 3.019 4.6678e-06 8.4723e-07
0.553 3.295 1.3737e-05 1.7222e-06
0.828 3.754 2.6983e-05 1.9860e-06
1.100 4.389 4.0852e-05 2.3827e-06
0.000 1.108 0.0000e+00 0.0000e+00
0.277 1.200 1.1136e-05 2.0541e-06
0.553 1.477 3.3525e-05 5.4233e-06
0.828 1.936 6.0456e-05 3.5598e-06
1.100 2.571 7.6521e-05 3.1103e-06
1.370 3.377 8.6097e-05 3.0030e-06
1.637 4.347 9.4269e-05 3.3100e-06
0.000 2.202 0.0000e+00 0.0000e+00
0.277 2.294 5.0189e-06 6.2606e-07
0.553 2.571 1.8060e-05 1.4058e-06
0.828 3.029 3.2541e-05 2.3396e-06
1.100 3.665 4.9056e-05 2.0488e-06
0.000 3.295 0.0000e+00 0.0000e+00
0.277 3.388 3.4855e-06 6.1191e-07
0.553 3.665 1.3154e-05 1.2956e-06
0.828 4.123 2.4989e-05 1.7544e-06
0.000 4.389 0.0000e+00 0.0000e+00
